doc_id,year,agency,doc_type,section_type,section_number,layout_list_number,text,layout_type,layout_type_and_number,page_number,element_number_within_page,row
plans-2023-doe-equity-action-plan_text_2.p1.5,2023,doe-equity-action-plan,plans,text,2,NA,"On his first day in office, President Biden signed Executive Order 13985, Advancing Racial Equity and Support for Underserved Communities Through the Federal Government. This order recognizes that although equal opportunity is part of the American Dream, for too many Americans, that dream remains out of reach. In that order, the President called on every federal agency to examine barriers to accessing its resources. In response the Department released its first-ever Equity Action Plan in April 2022, identifying five strategies to advance equity throughout DOE:",Text,Text 2,1,5,1074
plans-2023-doe-equity-action-plan_text_3_part_of_layout_list_1.p1.7,2023,doe-equity-action-plan,plans,text,3,part_of_layout_list_1,"1) Address gaps in data collection to facilitate data-informed, equitable decision-making",Text,Text 3 - part of layout list 1,1,7,1075
plans-2023-doe-equity-action-plan_text_4_part_of_layout_list_1.p1.8,2023,doe-equity-action-plan,plans,text,4,part_of_layout_list_1,2) Increase opportunities for new entrants into DOE procurement and financial assistance,Text,Text 4 - part of layout list 1,1,8,1076
plans-2023-doe-equity-action-plan_text_5_part_of_layout_list_1.p1.9,2023,doe-equity-action-plan,plans,text,5,part_of_layout_list_1,3) Increase participation by individuals and institutions that are underrepresented in DOE's research and development (R&D) programs supported through financial assistance,Text,Text 5 - part of layout list 1,1,9,1077
plans-2023-doe-equity-action-plan_text_6_part_of_layout_list_1.p1.10,2023,doe-equity-action-plan,plans,text,6,part_of_layout_list_1,4) Expand Tribal engagement and stakeholder engagement across DOE,Text,Text 6 - part of layout list 1,1,10,1078
plans-2023-doe-equity-action-plan_text_7_part_of_layout_list_1.p1.11,2023,doe-equity-action-plan,plans,text,7,part_of_layout_list_1,5) Improve access and equity in DOE's Weatherization Assistance Program,Text,Text 7 - part of layout list 1,1,11,1079
plans-2023-doe-equity-action-plan_text_8.p1.12,2023,doe-equity-action-plan,plans,text,8,NA,"Much has been achieved since Executive Order 13985 was signed; however, advancing equity is not a short-term project. It is a commitment that requires sustained focus and partnership with communities. On February 16, 2023, President Biden signed Executive Order 14091, Further Advancing Racial Equity and Support for Underserved Communities Through the Federal Government. This order strengthened the government's equity mandate and directed the federal government to continue to champion racial equity and advance equal opportunity for every American, particularly those in rural communities, communities of color, Tribal Nations, LGBTQI+ individuals, people with disabilities, women and girls, and communities impacted by persistent poverty.",Text,Text 8,1,12,1080
plans-2023-doe-equity-action-plan_text_9.p2.0,2023,doe-equity-action-plan,plans,text,9,NA,"In this 2023 update to the agency's 2022 Equity Action Plan, we have identified five new strategies to continue to bolster equity:",Text,Text 9,2,0,1081
plans-2023-doe-equity-action-plan_text_10_part_of_layout_list_2.p2.2,2023,doe-equity-action-plan,plans,text,10,part_of_layout_list_2,"(1) Establish a DOE-wide Community Benefits Plan (CBP) framework that builds trust and improves outcomes for underserved communities, which in turn supports successful Deployment & Demonstration and R&D projects that advance an equitable clean energy transition.",Text,Text 10 - part of layout list 2,2,2,1082
plans-2023-doe-equity-action-plan_text_11_part_of_layout_list_2.p2.3,2023,doe-equity-action-plan,plans,text,11,part_of_layout_list_2,(2) Update the DOE Merit Review Program to improve equitable outcomes for DOE awards.,Text,Text 11 - part of layout list 2,2,3,1083
plans-2023-doe-equity-action-plan_text_12_part_of_layout_list_2.p2.4,2023,doe-equity-action-plan,plans,text,12,part_of_layout_list_2,"(3) Increase and improve access to procurement opportunities (acquisition and financial assistance) for new entrants, small, and historically disadvantaged businesses.",Text,Text 12 - part of layout list 2,2,4,1084
plans-2023-doe-equity-action-plan_text_13_part_of_layout_list_2.p2.5,2023,doe-equity-action-plan,plans,text,13,part_of_layout_list_2,(4) Integrate and track justice considerations through a metrics framework for the Department's R&D strategy by providing consistent communication of expectations and efficient coordination and implementation of reporting requirements across the Department.,Text,Text 13 - part of layout list 2,2,5,1085
plans-2023-doe-equity-action-plan_text_14_part_of_layout_list_2.p2.6,2023,doe-equity-action-plan,plans,text,14,part_of_layout_list_2,"(5) Develop an agency-wide framework to effectively work with Tribal and disadvantaged communities to reimagine their clean energy future through real investments and technical assistance and ensure that community voices and decision-making are integrated into DOE funding, research, and programming.",Text,Text 14 - part of layout list 2,2,6,1086
plans-2023-doe-equity-action-plan_text_15.p2.7,2023,doe-equity-action-plan,plans,text,15,NA,"The Department - in concert with the entire Biden-Harris Administration - is committed to doing what is right to address the inequities that many communities face in energy. This Equity Action Plan is a major milestone in the journey to advance equity and represents a continued commitment to advancing equal opportunity for all Americans. The Department of Energy looks forward to continuing this critical work in partnership with community leaders, research institutions, and the business and community-based organizations that partner with DOE.",Text,Text 15,2,7,1087
plans-2023-doe-equity-action-plan_text_16.p2.8,2023,doe-equity-action-plan,plans,text,16,NA,"He Jennifer M. Granholm Secretary, U.S. Department of Energy",Text,Text 16,2,8,1088
plans-2023-doe-equity-action-plan_section_header_1.p3.0,2023,doe-equity-action-plan,plans,section-header,1,NA,I. Advancing Equity Through Agency Mission,Section header,Section header 1,3,0,1089
plans-2023-doe-equity-action-plan_text_17.p3.1,2023,doe-equity-action-plan,plans,text,17,NA,"The Department of Energy strives to ensure America's security and prosperity by addressing its energy, environmental and nuclear challenges through transformative science and technology solutions. DOE prioritizes equity and place-based 1 strategies in its investments to model a clean energy transition that will deliver real benefits to frontline communities, especially those historically impacted by the legacy of pollution and environmental injustice. To ensure that every community has a role in this energy transition, DOE must strive to eliminate barriers to access, transform programs and policies to open even broader pathways for underrepresented groups to access DOE resources, and create new programs to better serve communities.",Text,Text 17,3,1,1090
plans-2023-doe-equity-action-plan_section_header_2.p4.0,2023,doe-equity-action-plan,plans,section-header,2,NA,II. Executive Summary of Equity Action Plan,Section header,Section header 2,4,0,1091
plans-2023-doe-equity-action-plan_text_18.p4.1,2023,doe-equity-action-plan,plans,text,18,NA,"The DOE initiated an agency-wide assessment by gathering feedback from program offices, engaging with local communities via outreach events, and reviewing existing evidence. This comprehensive review resulted in the following five strategies:",Text,Text 18,4,1,1092
plans-2023-doe-equity-action-plan_text_19_part_of_layout_list_3.p4.3,2023,doe-equity-action-plan,plans,text,19,part_of_layout_list_3,"(1) Establish a DOE-wide CBP framework that builds trust and improves outcomes for underserved communities, which in turn supports successful and support successful Deployment & Demonstration and R&D projects that advance an equitable clean energy transition.",Text,Text 19 - part of layout list 3,4,3,1093
plans-2023-doe-equity-action-plan_text_20_part_of_layout_list_3.p4.4,2023,doe-equity-action-plan,plans,text,20,part_of_layout_list_3,(2) Update the DOE Merit Review Program to improve equitable outcomes for DOE awards.,Text,Text 20 - part of layout list 3,4,4,1094
plans-2023-doe-equity-action-plan_text_21_part_of_layout_list_3.p4.5,2023,doe-equity-action-plan,plans,text,21,part_of_layout_list_3,"(3) Increase and improve access to procurement opportunities (acquisition and financial assistance) for new entrants, small, and historically disadvantaged businesses.",Text,Text 21 - part of layout list 3,4,5,1095
plans-2023-doe-equity-action-plan_text_22_part_of_layout_list_3.p4.6,2023,doe-equity-action-plan,plans,text,22,part_of_layout_list_3,(4) Integrate and track justice considerations through a metrics framework for the Department's R&D strategy by providing consistent communication of expectations and efficient coordination and implementation of reporting requirements across the Department.,Text,Text 22 - part of layout list 3,4,6,1096
plans-2023-doe-equity-action-plan_text_23_part_of_layout_list_3.p4.7,2023,doe-equity-action-plan,plans,text,23,part_of_layout_list_3,"(5) Develop an agency-wide framework to effectively work with Tribal and disadvantaged communities to reimagine their clean energy future through real investments and technical assistance and ensure that community voices and decision-making are integrated into DOE funding, research, and programming.",Text,Text 23 - part of layout list 3,4,7,1097
plans-2023-doe-equity-action-plan_text_24.p4.8,2023,doe-equity-action-plan,plans,text,24,NA,Each of the sections below sections introduced with a bold header correlate to one of the strategies mentioned above.,Text,Text 24,4,8,1098
plans-2023-doe-equity-action-plan_section_header_3.p4.9,2023,doe-equity-action-plan,plans,section-header,3,NA,Community Benefits Plans,Section header,Section header 3,4,9,1099
plans-2023-doe-equity-action-plan_text_25.p4.10,2023,doe-equity-action-plan,plans,text,25,NA,"Low-income communities and communities of color often bear the brunt of the negative environmental, economic, and social impacts of energy infrastructure. Further, these communities often do not have a voice in project development and deployment. The Department has a historic opportunity to advance equity through the implementation of the Bipartisan Infrastructure Law (BIL) and the Inflation Reduction Act (IRA).",Text,Text 25,4,10,1100
plans-2023-doe-equity-action-plan_text_26.p4.11,2023,doe-equity-action-plan,plans,text,26,NA,"In an effort to advance equity and justice, spur job creation and, accelerate economic development, DOE now requires CBPs as part of BIL and IRA funding opportunities and loan applications. These plans are based on a set of four core policy priorities:",Text,Text 26,4,11,1101
plans-2023-doe-equity-action-plan_text_27_part_of_layout_list_4.p4.13,2023,doe-equity-action-plan,plans,text,27,part_of_layout_list_4,(1) Investing in America's workforce,Text,Text 27 - part of layout list 4,4,13,1102
plans-2023-doe-equity-action-plan_text_28_part_of_layout_list_4.p4.14,2023,doe-equity-action-plan,plans,text,28,part_of_layout_list_4,(2) Engaging communities and labor,Text,Text 28 - part of layout list 4,4,14,1103
plans-2023-doe-equity-action-plan_text_29_part_of_layout_list_4.p4.15,2023,doe-equity-action-plan,plans,text,29,part_of_layout_list_4,"(3) Advancing diversity, equity, inclusion, and accessibility",Text,Text 29 - part of layout list 4,4,15,1104
plans-2023-doe-equity-action-plan_text_30_part_of_layout_list_4.p4.16,2023,doe-equity-action-plan,plans,text,30,part_of_layout_list_4,"(4) Implementing Justice40, a federal initiative that sets the goal that 40 percent of the overall benefits of federal climate and clean energy investments flow to disadvantaged communities.",Text,Text 30 - part of layout list 4,4,16,1105
plans-2023-doe-equity-action-plan_text_31.p4.17,2023,doe-equity-action-plan,plans,text,31,NA,"These key principles, when incorporated comprehensively into project proposals and applications, can help to ensure more broadly shared prosperity in the clean energy transition. Going forward, DOE will establish a CBP framework across all applicable DOE programs to advance an equitable clean energy transition, while also building trust and improving outcomes for underserved communities.",Text,Text 31,4,17,1106
plans-2023-doe-equity-action-plan_section_header_4.p5.0,2023,doe-equity-action-plan,plans,section-header,4,NA,Reviewers in the Merit Review Program,Section header,Section header 4,5,0,1107
plans-2023-doe-equity-action-plan_text_32.p5.1,2023,doe-equity-action-plan,plans,text,32,NA,"A merit review is a thorough and objective examination of funding applications based on pre- established criteria by persons who are independent of those individuals submitting the applications. Reviewers are professionally qualified, by training, experience, or both, in the scientific or technical fields that are the subjects of the financial assistance applications being reviewed. They are often external researchers, community members, industry professionals, and occasionally federal employees.",Text,Text 32,5,1,1108
plans-2023-doe-equity-action-plan_text_33.p5.2,2023,doe-equity-action-plan,plans,text,33,NA,"From February-May 2023, DOE's Office of Energy Justice and Equity (EJE) (formerly the Office of Economic Impact and Diversity) conducted a series of informational interviews with various program offices to understand the current state of the merit reviewer recruitment process and systems. EJE found that each program office uses its own business system to collect, categorize, and communicate with merit reviewers. These systems are not connected to one another. To properly review CBPs' effectiveness in promoting jobs, diversity, and uplifting disadvantaged communities, reviewers must have a diverse set of experiences and cultural competencies. Accordingly, DOE will update the Merit Review Program to ensure an effective review of CBPs.",Text,Text 33,5,2,1109
plans-2023-doe-equity-action-plan_section_header_5.p5.3,2023,doe-equity-action-plan,plans,section-header,5,NA,Procurement (Acquisition and Financial Assistance),Section header,Section header 5,5,3,1110
plans-2023-doe-equity-action-plan_text_34.p5.4,2023,doe-equity-action-plan,plans,text,34,NA,"Current approaches to awarding DOE procurement opportunities lead to inequitable outcomes among economically disadvantaged groups. The Department of Energy, along with the Office of Management and Budget (OMB) and the Office of Federal Procurement Policy (OFPP), co- sponsored two nation-wide crowdsourcing campaigns, and found that women-owned small businesses, small disadvantaged businesses, minority-owned small businesses, veteran-owned small businesses; Tribal-owned and Native American-owned small businesses; and Historically Under-utilized Business Zone (HUBZone) businesses lack clarity on procurement and subcontracting (and other funding mechanisms) opportunities, processes, and procedures. The Department also found that DOE is underutilizing federal acquisition statutory and regulatory authority to award procurement opportunities to underrepresented groups. Based on these data points, DOE will fully exercise its statutory and regulatory authority to expand opportunities for new entrants and small and disadvantaged businesses in DOE procurements (acquisition and financial assistance).",Text,Text 34,5,4,1111
plans-2023-doe-equity-action-plan_section_header_6.p5.5,2023,doe-equity-action-plan,plans,section-header,6,NA,Justice40 Research and Development Metrics,Section header,Section header 6,5,5,1112
plans-2023-doe-equity-action-plan_text_35.p5.6,2023,doe-equity-action-plan,plans,text,35,NA,"Current Departmental metrics and their reporting fail to holistically2 assess Justice40 efforts across DOE. Specifically, current Justice40 metrics do not capture R&D efforts and how they advance Justice40 goals and objectives beyond where research is being conducted. To ensure the Department's R&D efforts advance Justice40 goals, DOE will develop a coordinated DOE-wide reporting strategy to implement holistic Justice40 metric development, collection, and evaluation.",Text,Text 35,5,6,1113
plans-2023-doe-equity-action-plan_text_36.p5.7,2023,doe-equity-action-plan,plans,text,36,NA,"2 From Oxford Dictionaries, holistic is defined as being """"characterized by the belief that the parts of something are interconnected and can be explained only by reference to the whole."""" Most Justice40 metrics focus only on the Principal Investigator (PI) who has received Departmental funds. Subcontractors are often omitted from DOE program impact metrics. The Department's approach to data collection creates a gap in assessing overall funding impacts. Research often has far-reaching implications beyond the location where the research is done, and more holistic metrics would permit the tracing of interconnected benefits in communities outside of the PI's place of business.",Text,Text 36,5,7,1114
plans-2023-doe-equity-action-plan_section_header_7.p6.0,2023,doe-equity-action-plan,plans,section-header,7,NA,Tribal and Community Engagement,Section header,Section header 7,6,0,1115
plans-2023-doe-equity-action-plan_text_37.p6.1,2023,doe-equity-action-plan,plans,text,37,NA,"Currently, DOE lacks a department-wide strategic framework for community engagement. Over the past year, the Justice40 Stakeholder Engagement Community of Practice (Justice40 SE CoP) and Office of Community Engagement (OCE) teams have completed internal assessments to understand Departmental approaches to stakeholder engagement. The Justice40 SE CoP and OCE teams found a lack of an agency-wide framework, which has caused inconsistencies in distributing resources such as technical assistance, funding, and other support mechanisms to underserved communities. Additionally, uncoordinated outreach often means duplicate communications to some Tribal and community entities and no outreach to others. Further, the lack of a formal feedback process fails to incorporate Tribal Nations and community voices in program design and decision-making. To remediate these deficiencies, DOE will develop an agency-wide """"ground game"""" to fully engage community entities and Tribes.",Text,Text 37,6,1,1116
plans-2023-doe-equity-action-plan_title_2.p7.0,2023,doe-equity-action-plan,plans,title,2,NA,III. Equity Progress Update and Accomplishments,Title,Title 2,7,0,1117
plans-2023-doe-equity-action-plan_text_38_part_of_layout_list_5.p7.2,2023,doe-equity-action-plan,plans,text,38,part_of_layout_list_5,"A. 2022 Equity Action Plan Update (pursuant to EO 13985): For reference, the 2022 DOE Equity Action Plan can be found here.",Text,Text 38 - part of layout list 5,7,2,1118
plans-2023-doe-equity-action-plan_text_39_part_of_layout_list_5.p7.3,2023,doe-equity-action-plan,plans,text,39,part_of_layout_list_5,i. Progress on addressing gaps in data collection to facilitate data-informed decision-making.,Text,Text 39 - part of layout list 5,7,3,1119
plans-2023-doe-equity-action-plan_text_40_part_of_layout_list_5.p7.4,2023,doe-equity-action-plan,plans,text,40,part_of_layout_list_5,"Office of Management, Office of Acquisition Management (OAM)",Text,Text 40 - part of layout list 5,7,4,1120
plans-2023-doe-equity-action-plan_text_41_part_of_layout_list_5.p7.5,2023,doe-equity-action-plan,plans,text,41,part_of_layout_list_5,"OAM implemented an agency-wide BIL funding opportunity announcement (FOA) template for BIL and IRA actions to further the Administration's goals to advance equity, provide support for disadvantaged communities, and leverage federal resources to achieve these objectives. The FOA template includes a Community Benefits Plan requirement, along with requirements to collect equity and justice-focused data.",Text,Text 41 - part of layout list 5,7,5,1121
plans-2023-doe-equity-action-plan_text_42_part_of_layout_list_5.p7.6,2023,doe-equity-action-plan,plans,text,42,part_of_layout_list_5,"OAM, the Office of Small and Disadvantaged Business Utilization (OSDBU), and the National Nuclear Safety Administration are co-leading an Acquisition Forecast Improvement Working Group to establish a centralized, web-based platform capturing all contracting, subcontracting and financial assistance opportunities at DOE and better reach underrepresented businesses in DOE procurement opportunities.",Text,Text 42 - part of layout list 5,7,6,1122
plans-2023-doe-equity-action-plan_text_43_part_of_layout_list_5.p7.7,2023,doe-equity-action-plan,plans,text,43,part_of_layout_list_5,ii. Progress on increasing opportunities for new applicants to DOE funding opportunities.,Text,Text 43 - part of layout list 5,7,7,1123
plans-2023-doe-equity-action-plan_text_44_part_of_layout_list_5.p7.8,2023,doe-equity-action-plan,plans,text,44,part_of_layout_list_5,"Office of Management, OAM",Text,Text 44 - part of layout list 5,7,8,1124
plans-2023-doe-equity-action-plan_text_45_part_of_layout_list_5.p7.9,2023,doe-equity-action-plan,plans,text,45,part_of_layout_list_5,"OAM implemented a strategy with M&O contractors and major site and facility contractors designed to increase subcontracting opportunities from contractors who employ people who are blind or have significant disabilities (AbilityOne). As a result of this implementation, DOE-wide AbilityOne obligations increased from $27.5M in FY 2022 to $31.2M in FY 2023, an increase of 13%.",Text,Text 45 - part of layout list 5,7,9,1125
plans-2023-doe-equity-action-plan_text_46_part_of_layout_list_5.p7.10,2023,doe-equity-action-plan,plans,text,46,part_of_layout_list_5,"OAM continues to co-lead the Innovative Funding Mechanisms Working Group with the Office of General Counsel, which is exploring innovative mechanisms to increase participation in DOE funding opportunities. The Working Group has focused on Partnership Intermediary Agreements (PIAs) and Other Transactions (OT) Authority as possible pathways to reach underrepresented entities and communities. PIAs are best utilized when traditional contractual mechanisms do not provide adequate outreach with non-traditional contractors and can reduce barriers to entry for such entities. DOE has put a Pilot PIA agreement in place to extend the Department's reach to new entrants and non-traditional partners, as well as small business firms, universities, and non-profit organizations. The agency has awarded one project utilizing the PIA mechanism, and additional projects are in the planning phase. Additionally, the agency has developed an OT guide for DOE program offices to increase the utilization of OT Authorities department wide. The agency anticipates that these interventions will increase contracting opportunities with new entrants and non-traditional partners.",Text,Text 46 - part of layout list 5,7,10,1126
plans-2023-doe-equity-action-plan_text_47_part_of_layout_list_5.p7.11,2023,doe-equity-action-plan,plans,text,47,part_of_layout_list_5,"OAM undertook an initiative in the Office of Headquarters Procurement Services to utilize market research tools such as the National Aeronautics and Space Administration's (NASA) Solutions for Enterprise-Wide Procurement Provider Lookup Tool, Small Business",Text,Text 47 - part of layout list 5,7,11,1127
plans-2023-doe-equity-action-plan_text_48.p8.0,2023,doe-equity-action-plan,plans,text,48,NA,"Administration (SBA) Dynamic Small Business Search, General Services Administration (GSA) Market Research as a Service Request for Information (RFI) Tool to increase procurement awards to small business and other disadvantaged socioeconomic categories. In FY 2023, these robust market research techniques resulted in awards valued at approximately $70.5 million (M) for Women Owned Small Businesses; $55.6M for Veteran Owned Small Businesses; $38.5M for Tribal-Owned and Native American Owned Small Businesses; and $3.8M for HUBZone Businesses.",Text,Text 48,8,0,1128
plans-2023-doe-equity-action-plan_section_header_8.p8.1,2023,doe-equity-action-plan,plans,section-header,8,NA,iii. Progress on increasing participation in DOE R&D and financial assistance programs.,Section header,Section header 8,8,1,1129
plans-2023-doe-equity-action-plan_section_header_9.p8.2,2023,doe-equity-action-plan,plans,section-header,9,NA,Office of Environmental Management (EM),Section header,Section header 9,8,2,1130
plans-2023-doe-equity-action-plan_text_49_part_of_layout_list_6.p8.4,2023,doe-equity-action-plan,plans,text,49,part_of_layout_list_6,"In FY 2022 and FY 2023, Congress appropriated EM $56M in each year for EM's Minority Serving Institutions Partnership Program (MSIPP), a program designed to promote the education and development of the next generation workforce in critical science, technology, engineering, and math (STEM) related disciplines in support of EM's mission. EM MSIPP grants assist minority serving institution (MSI) efforts to build competitive academic STEM programs and to purchase the tools and equipment necessary for scientific learning.",Text,Text 49 - part of layout list 6,8,4,1131
plans-2023-doe-equity-action-plan_text_50_part_of_layout_list_6.p8.5,2023,doe-equity-action-plan,plans,text,50,part_of_layout_list_6,"In FY 2022, EM awarded $30M in financial assistance to MSIs in South Carolina, Tennessee, and Washington. These grants help to develop highly qualified STEM students and foster a well-trained, technically skilled, and inclusive workforce.",Text,Text 50 - part of layout list 6,8,5,1132
plans-2023-doe-equity-action-plan_text_51_part_of_layout_list_6.p8.6,2023,doe-equity-action-plan,plans,text,51,part_of_layout_list_6,"In FY 2023, EM reviewed MSI applications for potential financial assistance through the EM MSIPP program.",Text,Text 51 - part of layout list 6,8,6,1133
plans-2023-doe-equity-action-plan_section_header_10.p8.7,2023,doe-equity-action-plan,plans,section-header,10,NA,Office of Science (SC),Section header,Section header 10,8,7,1134
plans-2023-doe-equity-action-plan_text_52_part_of_layout_list_7.p8.9,2023,doe-equity-action-plan,plans,text,52,part_of_layout_list_7,"In FY 2022, SC launched Reaching a New Energy Sciences Workforce (RENEW) to establish a more targeted and intentional approach to building foundations to support undergraduate and graduate student training opportunities and support institutions historically underrepresented in the SC research portfolio. RENEW leverages the agency's unique National Laboratories, user facilities, and other research infrastructures to provide training opportunities for undergraduate and graduate students, postdoctoral researchers, and faculty.",Text,Text 52 - part of layout list 7,8,9,1135
plans-2023-doe-equity-action-plan_text_53_part_of_layout_list_7.p8.10,2023,doe-equity-action-plan,plans,text,53,part_of_layout_list_7,"In FY 2022, SC announced 41 RENEW awards totaling $32M to 37 institutions, including 24 MSIs.",Text,Text 53 - part of layout list 7,8,10,1136
plans-2023-doe-equity-action-plan_text_54_part_of_layout_list_7.p8.11,2023,doe-equity-action-plan,plans,text,54,part_of_layout_list_7,"In FY 2023, SC issued seven RENEW solicitations and awarded $70M in funding to 65 institutions, including 40 MSIs.",Text,Text 54 - part of layout list 7,8,11,1137
plans-2023-doe-equity-action-plan_text_55_part_of_layout_list_7.p8.12,2023,doe-equity-action-plan,plans,text,55,part_of_layout_list_7,"In FY 2023, SC launched the Funding for Accelerated, Inclusive Research Initiative to build research capacity, infrastructure, and expertise at non-R1 institutions and support mutually beneficial relationships between MSIs and Emerging Research Institutions and partner institutions. SC has announced $37M in funding for 52 projects to 44 institutions to perform basic research in applied mathematics, biology, chemistry, computer science, engineering, geoscience, isotope research, materials science, and physics.",Text,Text 55 - part of layout list 7,8,12,1138
plans-2023-doe-equity-action-plan_text_56_part_of_layout_list_7.p8.13,2023,doe-equity-action-plan,plans,text,56,part_of_layout_list_7,"As a result of SC's increased outreach and engagement with MSI communities and support for funding mechanisms aimed at increasing MSI participation, SC significantly increased the participation of MSIs as lead institutions in its funding opportunities in FY 2022 over FY 2021 levels. For example:",Text,Text 56 - part of layout list 7,8,13,1139
plans-2023-doe-equity-action-plan_text_57_part_of_layout_list_7.p8.14,2023,doe-equity-action-plan,plans,text,57,part_of_layout_list_7,SC more than doubled the number of research grants to HBCUs as the lead institution in FY 2022 (from 15 awards in FY 2021 to 35 awards in FY 2022).,Text,Text 57 - part of layout list 7,8,14,1140
plans-2023-doe-equity-action-plan_text_58_part_of_layout_list_8.p9.1,2023,doe-equity-action-plan,plans,text,58,part_of_layout_list_8,SC nearly doubled the level of funding support for research awards to Hispanic Serving Institutions (HSIs) from FY 2021 levels (from $58.0M in FY 2021 to $109.0M in FY 2022).,Text,Text 58 - part of layout list 8,9,1,1141
plans-2023-doe-equity-action-plan_text_59_part_of_layout_list_8.p9.2,2023,doe-equity-action-plan,plans,text,59,part_of_layout_list_8,SC nearly doubled the number of new awards to HSIs in FY 2022 (from 71 awards in FY 2021 to 136 awards in FY 2022).,Text,Text 59 - part of layout list 8,9,2,1142
plans-2023-doe-equity-action-plan_text_60_part_of_layout_list_8.p9.3,2023,doe-equity-action-plan,plans,text,60,part_of_layout_list_8,"In FY 2023, SC established a requirement that all research proposals submitted to SC include a plan for Promoting Inclusive and Equitable Research (PIER). PIER Plans describe the strategies and activities the applicants will incorporate into their research projects to promote opportunity, inclusion, and access to STEM research and training for individuals from all backgrounds. PIER Plans are evaluated as part of the merit review process.",Text,Text 60 - part of layout list 8,9,3,1143
plans-2023-doe-equity-action-plan_text_61_part_of_layout_list_8.p9.4,2023,doe-equity-action-plan,plans,text,61,part_of_layout_list_8,Office of Fossil Energy and Carbon Management (FECM),Text,Text 61 - part of layout list 8,9,4,1144
plans-2023-doe-equity-action-plan_text_62_part_of_layout_list_8.p9.5,2023,doe-equity-action-plan,plans,text,62,part_of_layout_list_8,"FECM is collaborating with National Energy Technology Laboratory (NETL) acquisition professionals to embed societal and community impact criteria into FOAs - whether mandated by BIL or IRA, or program directed - that expand the pool of new entrants (e.g., MSIs) participating in program procurement, acquisition, and development activities.",Text,Text 62 - part of layout list 8,9,5,1145
plans-2023-doe-equity-action-plan_text_63_part_of_layout_list_8.p9.6,2023,doe-equity-action-plan,plans,text,63,part_of_layout_list_8,"FECM's University Training and Research (UTR) program supports novel, early-stage research at U.S. colleges and universities, with an emphasis on student training. The UTR program has a sub-program dedicated to supporting projects specifically at HBCUs and other MSIs; in FY 2023, FECM made 18 awards totaling more than $7M with nearly half (10 awards) going to MSIs (totaling nearly $3.5M). (See University Training and Research netl.doe.gov.)",Text,Text 63 - part of layout list 8,9,6,1146
plans-2023-doe-equity-action-plan_text_64_part_of_layout_list_8.p9.7,2023,doe-equity-action-plan,plans,text,64,part_of_layout_list_8,FECM held a workshop (April 2023) for potential future grant applicants to provide information about the UTR program and the associated application process. Over 90 people from educational institutions participated.,Text,Text 64 - part of layout list 8,9,7,1147
plans-2023-doe-equity-action-plan_text_65_part_of_layout_list_8.p9.8,2023,doe-equity-action-plan,plans,text,65,part_of_layout_list_8,"In June 2023, FECM announced up to $17.7M in available funding (FOA 3002) for five different areas of interest, including establishing multi-institution collaborations for student exchanges from MSIs, new academic curricula related to geosciences, supporting interdisciplinary training in humanities-driven STEM fields.",Text,Text 65 - part of layout list 8,9,8,1148
plans-2023-doe-equity-action-plan_section_header_11.p9.9,2023,doe-equity-action-plan,plans,section-header,11,NA,Office of Nuclear Energy (NE),Section header,Section header 11,9,9,1149
plans-2023-doe-equity-action-plan_text_66_part_of_layout_list_9.p9.11,2023,doe-equity-action-plan,plans,text,66,part_of_layout_list_9,"In April 2023, NE announced its awards for the University Nuclear Leadership Program (UNLP) scholarship and fellowship opportunities.",Text,Text 66 - part of layout list 9,9,11,1150
plans-2023-doe-equity-action-plan_text_67_part_of_layout_list_9.p9.12,2023,doe-equity-action-plan,plans,text,67,part_of_layout_list_9,"17 undergraduate scholarships were awarded to eight MSIs, totaling $170,000.",Text,Text 67 - part of layout list 9,9,12,1151
plans-2023-doe-equity-action-plan_text_68_part_of_layout_list_9.p9.13,2023,doe-equity-action-plan,plans,text,68,part_of_layout_list_9,"Three graduate fellowships were awarded to two MSIs, totaling $507,000.",Text,Text 68 - part of layout list 9,9,13,1152
plans-2023-doe-equity-action-plan_text_69_part_of_layout_list_9.p9.14,2023,doe-equity-action-plan,plans,text,69,part_of_layout_list_9,Announcement for UNLP awards can be found here.,Text,Text 69 - part of layout list 9,9,14,1153
plans-2023-doe-equity-action-plan_text_70_part_of_layout_list_9.p9.15,2023,doe-equity-action-plan,plans,text,70,part_of_layout_list_9,Find additional links to award information at University Nuclear Leadership Program Scholarship and Fellowship Awards.,Text,Text 70 - part of layout list 9,9,15,1154
plans-2023-doe-equity-action-plan_text_71_part_of_layout_list_9.p9.16,2023,doe-equity-action-plan,plans,text,71,part_of_layout_list_9,"In June 2023, NE announced its awards for the FY 2023 Consolidated Innovative Nuclear Research (CINR) research and development (R&D), Infrastructure Support for CINR, Distinguished Early Career Program (DECP), and Innovations in Nuclear Energy R&D Student Competition. These announcements included nine awards to eight lead MSIs, totaling $7.9M.",Text,Text 71 - part of layout list 9,9,16,1155
plans-2023-doe-equity-action-plan_text_72_part_of_layout_list_9.p9.17,2023,doe-equity-action-plan,plans,text,72,part_of_layout_list_9,"Announcement for FY 2023 CINR, DECP, and Innovations awards can be found here.",Text,Text 72 - part of layout list 9,9,17,1156
plans-2023-doe-equity-action-plan_text_73_part_of_layout_list_9.p9.18,2023,doe-equity-action-plan,plans,text,73,part_of_layout_list_9,Announcement for FY 2023 Infrastructure Support for CINR awards can be found here.,Text,Text 73 - part of layout list 9,9,18,1157
